Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|DS-100ub,0,0,0,0,0,0,28,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41Amt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub Acidobacterium sp.,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub,72,0,0,0,0,0,0,0,209,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41,267,204,626,0,0,125,57,339,146,105,371,129
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4ubub,0,0,0,0,0,0,0,0,25,0,0,33
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4ub,0,0,0,0,47,61,40,0,0,42,78,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4,56,31,0,0,0,0,0,72,0,61,0,0
Bacteria|Acidobacteria|Holophagae|Holophagales|Holophagaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19ub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19ubub,463,0,0,0,0,0,130,0,74,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19,282,0,0,0,56,0,0,106,99,0,58,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|CA002,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 7,0,0,0,0,0,56,111,36,26,156,0,120
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|AKIW659ub,0,23,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacterub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacterub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacter,0,61,261,271,46,173,0,121,0,444,327,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Candidatus SolibacterAmt,0,0,0,0,0,0,0,0,0,0,0,0
