Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Bacteria|Armatimonadetes|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceaeub Armatimonadetes bacteriumub Armatimonadetes bacterium,0,0,0,0,0,0,6,0,0,0,0,0
Bacteria|Armatimonadetes|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceaeubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Armatimonadetes|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceae,0,0,0,0,34,0,0,0,0,0,149,0
Bacteria|Armatimonadetesububububub,0,0,0,0,0,42,6,0,0,0,0,0
Bacteria|Armatimonadetesubub soil bacteriumub soil bacteriumub soil bacteriumub soil bacterium,0,0,0,0,0,0,0,7,0,0,0,0
Bacteria|Armatimonadetesub,0,0,0,0,33,43,0,0,0,0,0,0
Bacteria|BJ-169ububububub,0,0,0,0,0,0,0,0,18,0,22,87
Bacteria|BRC1ububububub,0,5,0,0,0,0,0,0,13,0,20,11
Bacteria|Bacteroidetes|Bacteroidetes Incertae Sedis|Order II|Rhodothermaceae|Rubrivirgaub,0,0,16,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Bacteroidetes Incertae Sedis|Order II|Rhodothermaceaeubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Bacteroidetes Incertae Sedis|Order II|Rhodothermaceaeubub Bacteroidetes bacterium,0,13,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Bacteroidetes Incertae Sedis|Order II|Rhodothermaceae,8,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceaeubub Bacteroidetes bacterium,67,178,100,0,0,0,58,99,31,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|AdhaeribacterAmt,0,0,0,0,0,0,0,0,0,33,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Chryseolineaub,0,69,121,0,0,0,118,92,66,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|DyadobacterAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|EmticiciaAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|FibrellaAmt,0,0,45,0,0,0,0,0,50,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Fibrisomaub,91,0,0,0,0,0,66,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|HymenobacterAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Hymenobacter|Hymenobacter ocellatus,0,0,0,0,0,0,0,0,28,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Hymenobacterub Bacteroidetes bacterium,0,9,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Hymenobacter,0,0,0,0,0,0,0,0,0,0,7,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Larkinellaub,106,0,0,0,0,0,22,0,0,0,39,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Ohtaekwangiaub,0,63,0,0,0,0,22,70,12,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Rhodocytophagaub Bacteroidetes bacterium,21,0,0,0,0,0,0,0,10,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Rhodocytophagaub,23,0,0,0,0,0,22,12,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Rudanellaub,57,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Siphonobacterub,79,0,0,0,0,0,72,6,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|SpirosomaAmt,0,14,52,0,0,0,59,0,0,129,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosomaub,129,70,119,0,0,0,0,0,104,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma,28,0,0,0,0,0,0,0,2,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Sporocytophagaub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceaeubub Bacteroidetes bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceaeub,131,111,0,18,0,0,88,60,71,16,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae,29,65,221,0,0,0,0,105,0,0,0,0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales,0,0,0,0,0,0,0,3,0,0,10,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Blattabacteriaceae|Candidatus Uzinuraub Bacteroidetes bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Crocinitomixub,0,6,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Fluviicolaub,0,0,23,0,0,0,0,0,11,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|ChryseobacteriumAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacteriumub,0,0,0,0,0,0,13,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium,19,0,0,0,0,0,0,0,19,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacteriumub Bacteroidetes bacterium,0,0,57,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium,0,77,0,0,0,0,0,0,35,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|NS9 marine groupubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales,0,0,0,0,0,0,0,0,21,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|AKYH767ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|CWT CU03-E12ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|ChitinophagaAmt,0,0,0,0,0,0,0,0,119,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Cnuellaub,0,0,128,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Ferruginibacter,0,126,0,0,0,0,0,0,0,0,0,43
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacterub Bacteroidetes bacterium,0,0,0,0,0,0,0,0,24,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacterub Flavisolibacter sp.,0,3,0,0,0,0,0,0,0,0,122,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacter,174,32,48,275,340,339,0,127,0,147,206,145
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavitaleaub,0,188,147,0,0,0,148,73,121,114,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavitalea,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Parafilimonasub,0,0,0,0,224,189,0,0,0,0,155,90
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Parafilimonas,0,0,0,0,0,0,0,0,0,0,5,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Sediminibacterium,0,0,0,0,0,0,56,0,0,191,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Segetibacterub,0,0,59,0,0,0,0,0,0,103,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Segetibacter,0,0,0,0,0,0,0,0,0,29,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Taibaiellaub,0,26,0,0,0,0,0,0,35,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Terrimonasub Chitinophagaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Terrimonas,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|ChitinophagaceaeubAmt,46,0,0,0,0,0,47,0,0,0,0,51
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceaeubub Bacteroidetes bacterium,0,0,0,0,0,46,0,68,0,0,118,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceaeubub,0,0,0,0,0,0,0,109,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceaeubub soil bacterium,0,84,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceaeub,69,170,42,0,42,79,149,224,121,73,219,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae,131,110,42,0,164,0,70,103,179,90,227,42
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|FFCH9454ubub,0,0,0,0,25,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|KD3-93ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|NS11-12 marine groupubub,6,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|PHOS-HE51ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|PHOS-HE51,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella,0,0,0,0,0,0,0,14,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Phaeodactylibacterub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|SaprospiraceaeubAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceaeubub,0,0,0,0,0,0,32,0,0,0,59,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceaeubub soil bacterium,0,0,0,0,0,0,55,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceaeub,0,29,0,0,0,0,0,0,0,57,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Arcticibacterub,0,47,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter,0,0,24,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter,63,0,0,0,0,0,0,0,75,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae,0,87,0,0,0,0,0,0,49,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|env.OPS 17ub Bacteroidetes bacteriumub Bacteroidetes bacterium,0,0,0,18,26,0,0,0,0,0,0,62
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|env.OPS 17ubub,0,0,0,0,0,0,0,0,0,19,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|env.OPS 17,44,85,0,0,0,0,0,65,17,0,42,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacterialesubub Bacteroidetes bacteriumub Bacteroidetes bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacterialesubub Saprospiraceae bacteriumub Saprospiraceae bacterium,0,5,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacterialesubub Sphingobacteriales bacteriumub Sphingobacteriales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacterialesubub soil bacteriumub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,23
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacterialesub,0,0,0,0,0,0,0,0,0,0,34,0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales,0,0,0,0,0,0,0,0,0,0,0,3
Bacteria|Bacteroidetes,0,39,0,0,0,0,15,0,29,0,0,0
Bacteria|Candidatus Berkelbacteriaububububub,0,0,0,0,10,0,0,0,0,0,0,0
Bacteria|Candidatus Berkelbacteriaub soil bacteriumub soil bacteriumub soil bacteriumub soil bacteriumub soil bacterium,0,0,0,24,39,0,0,0,0,0,0,29
Bacteria|Candidatus Berkelbacteria,0,20,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Chlamydiaceaeub Chlamydiales bacteriumub Chlamydiales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Parachlamydiaceae|Candidatus ProtochlamydiaAmt,230,51,29,0,0,0,0,0,0,0,95,39
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Parachlamydiaceae|Candidatus Protochlamydia,0,0,0,0,0,0,0,0,102,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Parachlamydiaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Simkaniaceaeubub Chlamydiales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Simkaniaceaeubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|Simkaniaceaeub,3,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales|cvE6ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlamydiae|Chlamydiae|Chlamydiales,0,0,0,0,0,0,69,0,0,0,0,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|OPB56AmtAmt,0,35,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|OPB56ub KF-JG30-B11ub KF-JG30-B11,0,0,0,0,24,12,0,0,0,0,34,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|OPB56ubub,0,14,0,41,0,0,0,0,23,0,49,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|OPB56,56,0,0,0,0,0,0,45,0,8,0,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|SJA-28ub Ignavibacterium sp.ub Ignavibacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|SJA-28ubub,100,0,0,0,0,0,18,130,0,0,0,0
Bacteria|Chlorobi|Chlorobia|Chlorobiales|SJA-28,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub Anaerolineaceae bacterium,42,0,52,0,0,0,0,32,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub Bellilinea sp.,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub Caldilineaceae bacterium,127,56,36,0,0,0,108,33,89,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub Gemmatimonadetes bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub compost bacterium,0,0,0,0,0,0,44,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub prokaryote,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub sludge bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub sludge bacterium H8,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub sludge bacterium S14,227,189,0,0,0,0,71,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeubub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceaeub,281,0,20,0,0,27,35,273,89,0,0,0
Bacteria|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae,4,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ardenticatenia|Ardenticatenalesububub,29,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ardenticatenia|Ardenticatenales,0,0,0,0,0,0,0,159,0,0,0,0
Bacteria|Chloroflexi|Ardenticateniaubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ardenticateniaub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae|Litorilineaub,0,0,0,0,0,0,0,97,10,0,0,0
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceaeubub,52,0,0,0,0,0,0,87,8,0,0,0
Bacteria|Chloroflexi|Chloroflexi Incertae Sedis|Unknown Order|Unknown Family|Thermobaculumub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Candidatus Chloroplocaub,306,0,0,0,0,0,341,0,43,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloronemaub,42,0,0,0,0,0,136,64,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloronema,0,0,0,0,0,0,42,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|FFCH7168ubub,123,55,0,0,0,0,0,161,0,0,11,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Oscillochloridaceae|Oscillochloris,0,0,0,0,0,0,91,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|RoseiflexusAmt,157,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexusub Chloroflexi bacterium,0,52,15,0,209,95,0,0,38,247,35,152
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexusub,72,67,24,0,0,133,206,0,0,55,0,40
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus,175,114,17,0,0,0,165,22,55,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|HerpetosiphonAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|Herpetosiphonub,0,0,0,0,0,0,22,0,0,0,0,0
Bacteria|Chloroflexi|Chloroflexia|Kallotenuales|AKIW781ubub,61,0,125,0,51,0,0,21,0,73,0,0
Bacteria|Chloroflexi|Chloroflexia|Kallotenuales|AKIW781,0,0,0,0,0,0,0,0,0,0,0,78
Bacteria|Chloroflexi|Elev-1554ubububub,0,0,0,87,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Gitt-GS-136ubububub,19,0,22,0,0,0,0,41,0,0,0,0
Bacteria|Chloroflexi|JG30-KF-CM66ubububub,0,0,0,0,0,0,0,0,0,0,59,0
Bacteria|Chloroflexi|JG30-KF-CM66ub soil bacteriumub soil bacteriumub soil bacteriumub soil bacterium,0,0,0,0,0,0,0,0,0,18,0,0
Bacteria|Chloroflexi|JG30-KF-CM66,0,13,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|JG37-AG-4ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|JG37-AG-4ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|KD4-96ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,0,0,0,0,0,0,0,0,50,0,0,0
Bacteria|Chloroflexi|KD4-96ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|KD4-96,3,0,0,38,0,32,0,0,0,0,0,118
Bacteria|Chloroflexi|Ktedonobacteria|B10-SB3Aububub,0,0,0,0,0,0,0,0,0,0,3,0
Bacteria|Chloroflexi|Ktedonobacteria|B12-WMSP1ububub,0,0,0,244,0,91,0,0,0,403,172,0
Bacteria|Chloroflexi|Ktedonobacteria|C0119ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,148,101,232,59,196,84,70,143,118,128,140,98
Bacteria|Chloroflexi|Ktedonobacteria|C0119ububub,69,42,0,226,54,121,150,80,0,342,264,0
Bacteria|Chloroflexi|Ktedonobacteria|C0119ub soil bacteriumub soil bacteriumub soil bacterium,0,0,0,0,0,49,0,0,0,119,145,0
Bacteria|Chloroflexi|Ktedonobacteria|C0119,0,0,0,33,0,0,0,0,0,0,32,0
Bacteria|Chloroflexi|Ktedonobacteria|JG30-KF-AS9ububub,0,0,0,156,0,0,0,0,0,104,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|1921-3ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|1921-3,0,0,0,133,0,0,0,0,0,176,62,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|FCPS473ub Ktedobacteria bacteriumub Ktedobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|FCPS473ub Ktedonobacter sp.ub Ktedonobacter sp.,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|FCPS473ubub,0,0,0,514,0,0,0,0,0,323,84,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|FCPS473,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|G12-WMSP1ub Chloroflexi bacteriumub Chloroflexi bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|Thermosporotrichaceae|Thermosporothrixub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|Thermosporotrichaceaeubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales,0,0,0,295,25,0,0,0,0,49,28,0
Bacteria|Chloroflexi|Ktedonobacteria|Thermogemmatisporales|1921-2ub Ktedobacteria bacteriumub Ktedobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Ktedonobacteria|Thermogemmatisporales|1921-2ubub,0,0,0,0,0,0,0,0,0,0,20,0
Bacteria|Chloroflexi|Ktedonobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|P2-11Eubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|S085ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|S085,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|SAR202 clade,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|SBR2076AmtAmtAmtAmt,55,0,0,0,0,0,21,0,0,0,0,0
Bacteria|Chloroflexi|SBR2076ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|SBR2076ubububub,76,60,0,0,0,0,103,0,39,0,0,0
Bacteria|Chloroflexi|SBR2076,0,0,0,0,0,0,0,47,0,0,0,0
Bacteria|Chloroflexi|SHA-26ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|TK10AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,53,111
Bacteria|Chloroflexi|TK10ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,146,0,0,0,0,0,0,95,0,38,0,0
Bacteria|Chloroflexi|TK10ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|TK10ub soil bacteriumub soil bacteriumub soil bacteriumub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,33
Bacteria|Chloroflexi|TK10,0,0,81,0,0,0,0,0,42,0,56,178
Bacteria|Chloroflexi|Thermomicrobia|AKYG1722ububub,0,0,0,0,0,36,0,0,0,0,0,0
Bacteria|Chloroflexi|Thermomicrobia|JG30-KF-CM45ub Chloroflexi bacteriumub Chloroflexi bacteriumub Chloroflexi bacterium,134,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Chloroflexi|Thermomicrobia|JG30-KF-CM45ububub,98,223,21,0,0,0,158,0,0,151,0,0
